1	食品味一样，但是打开餐盒后发现竟然裂了一个到底部的口子，如果直接在那家店买给餐盒也不会裂口的，不知道是不是故意拿了一个裂口的装的	0
2	我要可乐不加冰！！！为什么送来的可乐还是加冰了！送了一个小时才到，这么热的天，冰也该化了，可是一拿起来还有声音，难道加了半桶冰！	0
3	煎饼越来越咸了	0
4	十点多就点菜也然并卵，十二点多才送到。好久没吃了印象中很软烂进味的手撕鸡干硬而且味道一般，因为时间久了还有点凉。可能是顾客多了不管是菜品质量还是送餐速度都下降了很多，残念，可能很久都不会再想吃了。	0
5	九转大肠不错,其他一般啦！	0
6	好吃，速度也快	1
7	非常好吃，味道好极了！！	1
8	两个小时才送来，都是凉的了	0
9	石锅饭还是不好外卖～五花肉是半熟的，吃了一块一会就拉肚子了……还是应该在石锅里焖熟再吃比较好	0
10	快递小哥特别好。奶茶棒棒哒！	1
11	搞活动就好慢，只想说量力而行吧	0
12	送单小哥的电动车没电了，送餐时间差一分钟就超时了，希望后续不要出现类似的问题哈	1
13	味道不错，送到的时候还是热的。	1
14	商家没有给赠送的饮料	0
15	等了一个多小时，我也是醉了！	0
16	态度不太好，送的太慢了…	0
17	超级聪明超级赞！！一万个好评，今天特别冷，送餐小哥辛苦了	1
18	送餐慢了点，餐还可以	1
19	速度好慢，性价比还可以	0
20	几乎没有南瓜	0
21	习惯好评，但今天的卷饼菜太少了，皮感觉有点厚了	1
22	说好的不放青椒，还是放了，不过还好我同学吃青椒。	0
23	话说东西很实在，问题是为啥里面放了好多青椒，介绍里面完全没写呀，我都吃吐了，实在受不了青椒的味道，难道我还一颗颗挑出来，老板赔我的好心情	0
24	土豆不错，肉丝太少	1
25	催单过程中，餐厅服务员态度一般！没说完就挂电话！	0
26	鸡就跟半份似的，四块肉，四五块香菇，三四个像鱼丸大的小土豆，这菜太坑爹了	0
27	菜量有点少	0
28	送的挺快的,但是我备注的辣椒去哪了？,还有韭菜鸡蛋的鸡蛋又去哪了？而且韭菜鸡蛋的比韭菜肉的还少一个,难道现在鸡蛋卖的比猪肉贵了吗,好奇怪哦	0
29	味道还行，拌饭的菜量太少啦	0
30	鸡丁根本没有用油过，而且上的浆太稠了*失败！,鱼块基本是鱼尾部做的，味道一般★失败！,他家还是红烧肉好吃(*^﹏^*)。。。。下次就订红烧肉吃╮(╯▽╰)╭还是比较靠谱！,大五星评论(๑•ั็ω•็ั๑)哟！	0
31	差评，送货速度不是一般的满，竟然两个多小时才送到。打客服电话竟然是空号，简直无语。梅菜扣肉不好吃，米饭却是挺不错。	0
32	东西挺好，有点儿辣有点儿咸。送餐速度慢哭了。。。。。。	0
33	希望下次不要换餐了。	0
34	送得很快,东西也很好次	1
35	送餐快，非常好	1
36	我要的是夏日麻酱牛筋面，结果送的凉皮。。。。。。。	0
37	送餐不送筷子，不送纸巾，醋包居然不是食品用的包装，是简陋的自封袋，全洒了，送餐时间比网络显示晚了40分钟。	0
38	首先配送还是一如既往的快，这点值得称赞。锅包肉汁少肉量还行。鱼香肉丝量太少，连半盒都不到，肉丝更是一只手数的过来。捞汁蛰头最差，一整盒黄瓜丝，贴着盖子铺了薄薄一层蛰头，注意就只有一层。想来是生意好了店大欺客，以后	0
39	送餐很及时，希望百度提高一下送餐员的素质，帐都不会算的就别出来吓唬人好不~	0
40	不错，菜品选择再多一些就好了	1
41	说是12:10分到，结果1点才送来！两个小时才吃上啊！	0
42	味道没的说，好吃！！！	1
43	配送太牛了最牛的配送师傅我定了30份快递师傅都想办法送来辛苦！商家也送了汤最满意的一次外卖	1
44	四点半下的订单，差不多7点才送到，这速度，真心无语了，以前总订，都不带这么慢的。	0
45	土豆丝好吃土豆丝好吃	1
46	很快很好吃更给力会继续支持的	1
47	服务很好，准时送到，菜品也很好	1
48	太特么牛逼了，全是肉，卧槽！	1
49	又慢又难吃	0
50	应该16点30送到，结果19点多才给我送来！打电话给客服给我个号码让我自己跟配送员联系。配送员态度更恶劣，自己按不响门铃还对我说“快点快点”让我自己出去拿蛋糕！什么玩意儿，再也不会到这家店来买了！	0
51	唉，送来都凉了	0
52	整体不错，只是速度慢了一些，土豆卷略清淡	1
53	好吃，送餐员很尽职。	1
54	送餐很快的，味道也好，就是麻辣香锅里花椒多到和菜纠结的抖不下来，真没法吃。米饭很大一盒。	0
55	虽然时间长了些但是很准时。下次记得给些番茄酱就更好了。,一个人吃足够了。好好吃	1
56	卷饼很不错，就是粥太淡了，应该咸一点。。。可能是我个人的口味。。。	1
57	有些菜没有了，换了好几次，不过味道还行	0
58	送餐小伙很好，一直等着拿餐！但是餐厅做菜太慢，就两个菜和饺子，居然两个小时，慢得无法忍受！	0
59	送的太慢了，饭菜都凉了	0
60	大哥很热情！不错!好评	1
61	很好吃，定了好几次了	1
62	外卖不给餐巾纸的吗？	0
63	味道好，包装好，送餐及时，不错	1
64	送餐太慢一个多小时	0
65	门口10分钟的店，100多分钟送到。你们觉得么？呵呵,还会用才怪	0
66	少送了薯蓉！	0
67	送餐好慢好慢好慢	1
68	都送错了，点的两个十元的土豆肉丝饼，结果送来俩八块的青椒土豆饼～送餐的还可屌了，看着就像小混混～	0
69	谢谢送餐员！冒着寒冬送餐	1
70	注明了不要辣，可还是辣的	0
71	我现在修改一下。就在下午6点8分，我接到了小鱼府客服的电话，她通知我因为今天已经下过一次单了，所以无法再次享受减免活动。在我做出取消订单的决定之后，她说了一句，好，那你今天别吃饭了。我几乎很少给差评。但是这件事不好意思，接下来我要向百度投诉。请小鱼府注意查收	0
72	吃完就肚子疼，一晚上没睡好！	0
73	送的超级快！	1
74	拉面煎饼真的吃不习惯……还不如改成辣椒酱……反正不如薄脆煎饼味道好。豆浆一致都不错，挺浓郁的。	1
75	从人大的店来三义庙用了40分钟，但是是中午，店家也道歉了，理解	1
76	香菇鸡肉卷饼不好吃。。。	0
77	订歺后2小时才到	0
78	锅塌鸡蛋味精放太多了，吃一口就丢了，凉菜都很好吃，饺子很称职的饺子本人！	0
79	非常的正宗，就是羊杂汤太咸啦	1
